agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
DOT,Leaning Bar,Damaged/Bent/Loose/Leaning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
NYPD,Illegal Fireworks,Loud Music/Party,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",2
DOT,Street Light Condition,Fire Alarm Lamp Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
TLC,Taxi Licensee Complaint,Owner/Broker/Agent Complaint,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",2
DOB,Building Marshals office,Unlicensed/Illegal/Improper Work In Progress,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2
DSNY,Illegal Dumping,Refrigerator or Freezer Door Attached,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",2
DOHMH,Peeling Paint,Peeling Paint Inside Home,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",2
DOT,DEP Street Condition,Sunken Pavement,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
DOT,Traffic Signal Condition,Transducer-Loop,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
DOT,Wayfinding,Broken/Cracked/Damaged Glass,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
DOT,DEP Street Condition,Depression,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",2
DCWP,Consumer Complaint,Pool or Billiard Room,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
3-1-1,Noise - Commercial,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOT,DEP Sidewalk Condition,Defective Hardware - DEP,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DSNY,Transfer Station Complaint,Litter,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
DOB,Stalled Sites,Stalled Construction Site,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOHMH,Radioactive Material,User Unlicensed,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",1
DOT,Street Light Condition,Fire Alarm Lamp Dayburning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
TLC,Dispatched Taxi Complaint,Driver Complaint - Non Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
NYPD,Noise - Vehicle,Banging/Pounding,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOT,Highway Sign - Dangling,Construction,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOHMH,Smoking or Vaping,Flavored Tobacco,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
DOT,DEP Sidewalk Condition,Defective Manhole Cover,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DSNY,DSNY Internal,Other Request for Enforcement,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
DOB,General Construction/Plumbing,Demolition - No Permit,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOHMH,Smoking or Vaping,Ashtray in Smoke-Free Area,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
DOT,Traffic Signal Condition,Expressway Sign,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
TLC,Dispatched Taxi Complaint,Car Service Company Report,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
NYPD,Illegal Parking,Loud Talking,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",1
DOT,Sidewalk Condition,Cellar Door New,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOHMH,X-Ray Machine/Equipment,Equipment Malfunction,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
TLC,Found Property,Jewelry,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
DEP,Noise,Noise: Vehicle (NR2),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOT,Wayfinding,Loose/Leaning Sign,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DCWP,Consumer Complaint,Arcade,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
NYPD,Noise - House of Worship,Loud Television,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
NYPD,Noise - Residential,Car/Truck Music,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DPR,Violation of Park Rules,Dog Off Leash,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1
DOT,DEP Street Condition,Plate Condition - DEP,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOB,Elevator,Amusement Ride Accident/Incident,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOT,Wayfinding,Missing Glass Panel,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOHMH,Smoking or Vaping,Sign Inadequate,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
NYPD,Noise - Residential,In Public,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
TLC,For Hire Vehicle Complaint,Driver Report - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
NYPD,Noise - Street/Sidewalk,In Public,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOHMH,Tanning,Equipment Maintenance,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
DOHMH,Smoking or Vaping,Cigarette Vending Machine,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",1
DOT,DEP Sidewalk Condition,Defective Catch Basin,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
NYPD,Non-Emergency Police Matter,Loud Music/Party,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOT,Street Condition,Maintenance Cover,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
NYPD,Illegal Parking,Partial Access,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",1
TLC,Taxi Licensee Complaint,Vehicle Report,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
DOT,Municipal Parking Facility,Lighting - Garage,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOB,Sustainability Enforcement,Sustainability Enforcement Work Order,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
HPD,OUTSIDE BUILDING,FENCING,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOT,Highway Sign - Missing,Speed Limit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
TLC,Dispatched Taxi Complaint,Driver Report - Non Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
NYPD,Noise - Street/Sidewalk,Other (complaint details),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DCWP,Consumer Complaint,Printing Services,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
NYPD,Noise - Street/Sidewalk,Use Outside,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",1
DOB,Elevator,Accident - Elevator,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
DOHMH,Tobacco or Non-Tobacco Sale,Shisha Sold to Minor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
DOT,Highway Condition,Debris,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DEP,Air Quality,"Air: Smoke, Other (Use Comments) (AA5)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",1
TLC,Taxi Licensee Complaint,Car Service Company Complaint,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",1
DPR,Animal in a Park,Unsafe Use of Playground,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",1
DOT,Traffic Signal Condition,P.E. Cell,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOT,Public Toilet,Flooded,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",1
NYPD,Blocked Driveway,Loud Music/Party,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",1
DOT,DEP Street Condition,Concrete Around Hydrant,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOHMH,Rodent,Rodent Bite - PCS Only,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",1
NYPD,Noise - Street/Sidewalk,Double Parked Blocking Vehicle,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",1
DOT,Street Sign - Missing,Do Not Block the Box,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOT,DEP Street Condition,Asphalt Around Valve Box,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
OTI,Public Payphone Complaint,Damaged Telephone,Government & Community Services,Government Requests & Inquiries,"{""category"": ""Government & Community Services"", ""subcategory"": ""Government Requests & Inquiries""}",1
DOT,Street Sign - Damaged,Do Not Block the Box,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOT,DEP Street Condition,Defective Manhole Cover,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOT,Highway Sign - Dangling,Speed Limit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOT,DEP Sidewalk Condition,Cave-in,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",1
DOHMH,Tanning,Injury or Illness from Tanning,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",1
